"id","prenom","nom","annee_naissance","annee_deces","description"
"5","John","Carpenter","1948",NULL,"John Carpenter est un réalisateur, scénariste, producteur et compositeur américain né le 16 janvier 1948 à Carthage, dans l'État de New York.

Fort d'une carrière cinématographique s'étalant sur près de quarante ans, Carpenter a réalisé nombre de films d'horreur et de science-fiction qui ont acquis, au fil des ans, une renommée internationale. Réalisateur indépendant, il met en scène son premier long-métrage, Dark Star, en 1974, alors qu’il n'a que 25 ans. Il signe deux ans plus tard un film d'action, Assaut, avant de se tourner vers un autre registre avec Halloween, la nuit des masques : l'horreur. Un genre qui deviendra vite son genre de prédilection. Sorti en 1978, Halloween rencontre un formidable succès, aussi bien critique que commercial. Dès lors, la carrière de Carpenter est lancée, et les productions se succèdent, Hollywood lui ouvrant par ailleurs ses portes grâce à son nouveau statut de "" réalisateur rentable "".

Fortement influencé par le cinéma des années 1950, notamment par Howard Hawks et les films de science-fiction, John Carpenter est un réalisateur qui cherche à être "" invisible "". Ses films se caractérisent ainsi par une réalisation et des scénarios dépouillés, des montages secs et sans artifices, une musique minimaliste. Metteur en scène polyvalent, Carpenter a d'ailleurs cumulé les fonctions les plus importantes sur la plupart d’entre eux : réalisateur, scénariste, compositeur. Au fil de sa carrière, il a progressivement imposé son style dans les registres de l’épouvante et de la science-fiction, au point d’être considéré comme le "" Maître de l'Horreur "".

Aujourd'hui, nombre de ses films sont devenus des références du cinéma d'horreur et de science-fiction, notamment New York 1997, The Thing, Invasion Los Angeles, L'Antre de la folie ou encore Halloween. Si tous n'ont pas reçu un accueil critique favorable au moment de leur sortie, un grand nombre sont désormais considérés comme des films culte, Carpenter étant lui-même reconnu comme l’un des metteurs en scène les plus talentueux et les plus influents de son époque."
"6","David","Cronenberg","1943",NULL,"David Cronenberg est un réalisateur, acteur, producteur et scénariste canadien, né le 15 mars 1943 à Toronto (Ontario, Canada). Il est le père du réalisateur Brandon Cronenberg.

Également acteur, Cronenberg n'hésite pas à jouer dans certains films quand on fait appel à lui. Ainsi, on le voit apparaître dans son propre film La Mouche, mais aussi entre autres dans Cabal (Nightbreed de Clive Barker), Prête à tout, Mesure d'urgence et plus récemment Jason X. Par ailleurs et par pur intérêt pour la série, il fait une apparition remarquée dans deux épisodes de la saison 3 d’Alias. On peut aussi entendre sa voix dans Crash, où il interprète un vendeur de voitures accidentées n'apparaissant pas à l'écran."
"7","Stanley","Kubrick","1928","1999","Stanley Kubrick est un réalisateur, photographe, scénariste et producteur américain, né le 26 juillet 1928 à Manhattan (New York) et mort le 7 mars 1999 dans son manoir de Childwickbury, entre St Albans et Harpenden (Hertfordshire, au nord de Londres).

Après des débuts dans la photographie, Kubrick, autodidacte, sera également son propre directeur de la photographie, producteur, scénariste et monteur. Ses treize longs métrages en quarante-six ans de carrière l'imposent comme l'un des cinéastes majeurs du XXe siècle. Quatre de ses films sont classés dans le Top 100 de l'American Film Institute (AFI's 100 Years...100 Movies)."
"8","Sean","Byrne",NULL,NULL,"Sean Byrne est un réalisateur et scénariste australien."
"9","Ridley","Scott","1937",NULL,"Sir Ridley Scott, né le 30 novembre 1937 à South Shields, dans le Tyne and Wear, en Angleterre, est un réalisateur et producteur britannico-américain, résidant aux États-Unis.

Il est révélé à la fin des années 1970 et durant les années 1980 par trois blockbusters : Alien, le huitième passager (1979), Blade Runner (1982) et Legend (1985).

Durant les années 1990, ses films connaissent moins de succès. Se détachent en 1992 Thelma et Louise et 1492 : Christophe Colomb.

Mais au début des années 2000, il fait un retour au premier plan remarqué en relançant le péplum avec Gladiator (2000). Il enchaîne ensuite avec des grosses productions : Hannibal (2001), La Chute du faucon noir (2002), Kingdom of Heaven (2005), alternant également avec des films plus modestes : Les Associés (2003) et Une grande année (2006). Il conclut cette décennie en menant trois gros projets avec l'acteur Russell Crowe : American Gangster (2007), Mensonges d'État (2008), Robin des Bois (2010) qui déçoivent commercialement.

Durant les années 2010, il revient avec succès à la science-fiction : Prometheus (2012), Seul sur Mars (2015) et Alien: Covenant (2017).

Ridley Scott est reconnu pour son style visuel très concentré et atmosphérique, qui a inspiré un grand nombre de réalisateurs.

Il a été nommé à trois reprises à l'Oscar du meilleur réalisateur, ainsi qu'aux Golden Globes et BAFTA Awards. En 2003, il est anobli par la reine Élisabeth II pour services rendus aux arts britanniques, et en 2015, il reçoit un doctorat honorifique par le Royal College of Art de Londres.

Il est le frère aîné du réalisateur Tony Scott (1944-2012) avec qui il a fondé la société de production Scott Free Productions en 1995.

Un BAFTA Award a récompensé leur contribution remarquable au septième art.

Il est le père de trois enfants, tous réalisateurs : Jake, Luke et Jordan (également romancière)."
"10","Adam","Wingard","1982",NULL,"Adam Wingard est un réalisateur, directeur de la photographie, monteur et scénariste, né le 3 décembre 1982 à Oak Ridge dans le Tennessee. Il est en grande partie connu pour Blair Witch (2016) et Death Note (2017)."
"11","David Robert","Mitchell","1974",NULL,"David Robert Mitchell est un réalisateur et scénariste américain né le 19 octobre 1974 à Clawson, dans le Michigan."
"12","Wolf","Rilla","1920","2005","Wolf Rilla est un réalisateur britannique d'origine allemande, né le 16 mars 1920 à Berlin et mort le 19 octobre 2005 à Grasse (Alpes-Maritimes). Il est surtout connu pour son film Le Village des damnés.

Il est le fils de l'acteur allemand Walter Rilla et de Teresa Klausner. En 1934, la famille émigre vers la Grande-Bretagne, pour fuir le national-socialisme naissant, Walter Rilla étant d'origine juive.

Après sa scolarité, Rilla travaille à la BBC, où il dirige des émissions de propagande du service en allemand. Au début des années 1950, il travaille comme scénariste et réalisateur pour le cinéma britannique. Contrairement à son père, Wolf Rilla n'est jamais retourné en Allemagne. Il se retira dans le sud de la France où il devint gérant d'un hôtel."
"13","Tommy Lee","Wallace","1949",NULL,"Tommy Lee Wallace est un réalisateur, monteur, acteur et scénariste américain, né le 6 septembre 1949 à Somerset, dans le Kentucky (États-Unis), qui a notamment travaillé sur les films de John Carpenter. Il est également connu pour avoir réalisé Ça, adaptation télévisée d'un roman de Stephen King."
"14","Anthony C.","Ferrante",NULL,NULL,"Anthony C. Ferrante est un réalisateur, producteur et scénariste américain. Il est surtout connu pour son travail sur la série de films Sharknado."
